name,score,beer style,abv,cal,city,country,link
Balameb Cinco Muescas,3.15,Stout,5,150.0,Caba,Argentina,/beer/balameb-cinco-muescas/491105/
Chiruzza Mulata,3.15,Stout,6,180.0,Buenos Aires,Argentina,/beer/chiruzza-mulata/492890/
IMperial Weissbier,3.14,German Hefeweizen,-,,Salta,Argentina,/beer/imperial-weissbier/314043/
Shopron,3.14,Bitter,5.5,165.0,Capital Federal,Argentina,/beer/shopron-red-ale/57174/
Corsario Negro Redbitter,3.14,Bitter,5,150.0,Santa Clara del Mar,Argentina,/beer/corsario-negro-redbitter/12712/
Araucana Rubia Extra Fuerte,3.14,Heller Bock,8.5,255.0,El Bolson,Argentina,/beer/araucana-rubia-extra-fuerte/54483/
Die Eisenbrucke Dubbel,3.13,Abbey Dubbel,7.5,225.0,Gorbernador Mansilla,Argentina,/beer/die-eisenbrucke-dubbel/161733/
La Blanca,3.13,Belgian Ale,6,180.0,San Carlos,Argentina,/beer/la-blanca/509298/
Sixtofer Oatmeal Stout,3.13,Sweet Stout,5.6,168.0,Buenos Aires,Argentina,/beer/sixtofer-oatmeal-stout/162074/
Cardos Lager Pilsen,3.12,Pilsener,6,180.0,Los Cardales,Argentina,/beer/cardos-lager-pilsen/50850/
El Bolson Negra Ahumada,3.11,Smoked,6.2,186.0,El Bolson,Argentina,/beer/el-bolson-negra-ahumada/7166/
Beagle Fuegian Stout (Negra),3.11,Stout,7.8,234.0,Ushuaia,Argentina,/beer/beagle-fuegian-stout-negra/44267/
Keusters Dubbel,3.11,Abbey Dubbel,7,210.0,Buenos Aires,Argentina,/beer/keusters-dubbel/374374/
Bastión Brown Porter,3.11,Porter,-,,,Argentina,/beer/bastion-brown-porter/485165/
Dargett Coney Island,3.2,American Pale Ale,5.5,165.0,0002 Yerevan,Armenia,/beer/dargett-coney-island/551631/
Dargett The Catcher In The Wheat,3.17,Wheat Ale,4.6,138.0,0002 Yerevan,Armenia,/beer/dargett-the-catcher-in-the-wheat/567116/
Academia Weizen,3.13,German Hefeweizen,4.8,144.0,Yerevan,Armenia,/beer/academia-weizen/417634/
Karloff Dark,3.09,Dunkel/Tmavý,-,,Yerevan,Armenia,/beer/karloff-dark/417569/
Academia Pils,3.09,Pilsener,4.6,138.0,Yerevan,Armenia,/beer/academia-pils/417571/
Academia Bitter,3.03,English Pale Ale,4.8,144.0,Yerevan,Armenia,/beer/academia-bitter/417635/
